14006894,5000,Y-01-00003
14006894,5000,Y-01-00003
14006894,5000,Y-01-00003
81000244,500,Y-01-00003
81000244,500,Y-01-00003
81000244,500,Y-01-00003
81000594,4000,Y-01-00003
81000594,4000,Y-01-00003
81000594,4000,Y-01-00003
81000594,4000,Y-01-00003
81000594,4000,Y-01-00003
81000594,4000,Y-01-00003
81000801,800,Y-01-00003
81000801,800,Y-01-00003
81000801,800,Y-01-00003
81001998,2000,Y-01-00003
81002006,2000,Y-01-00003
81002006,2000,Y-01-00003
81002006,2000,Y-01-00003
81002006,2000,Y-01-00003
81002006,2000,Y-01-00003
81002006,2000,Y-01-00003
